project_key,project_name,repository,total_tickets,resolved_tickets,assignee_tickets,assignee_coverage_pct,nonempty_summary_tickets,summary_coverage_pct,nonempty_description_tickets,description_coverage_pct,nonempty_summary_or_description_tickets,text_coverage_pct,distinct_assignees,first_created_at,last_created_at,pre_cutoff_created_tickets,post_cutoff_created_tickets,people_meeting_minimum_pre_cutoff_resolved_tickets,plausible_heldout_briefs
DATACASS,Spring DataCass,Spring,798,763,794,99.50,798,100.00,516,64.66,798,100.00,10,2013-05-29 12:06:51,2020-10-17 17:48:00,600,198,5,45
DM,Lsstcorp Data management,Lsstcorp,26506,22570,23887,90.12,26506,100.00,23359,88.13,26506,100.00,211,2014-03-04 09:37:43,2020-10-22 16:40:10,16613,9893,105,1855
DNN,DotNetNuke Platform,DNNTracker,10060,7565,2528,25.13,10060,100.00,9934,98.75,10060,100.00,33,2012-01-03 00:39:00,2018-06-12 20:53:19,10060,0,20,0
DURACLOUD,Lyrasis Dura Cloud,Lyrasis,1125,913,733,65.16,1125,100.00,1036,92.09,1125,100.00,12,2009-11-11 16:05:21,2020-09-15 16:57:07,1065,60,4,13
EVG,The MongoDB Engineering,MongoDB,10299,9284,8753,84.99,10299,100.00,7975,77.43,10299,100.00,67,2013-04-10 16:09:14,2020-10-21 22:09:03,6147,4152,21,465
FAB,Hyperledger Fabric,Hyperledger,13682,12842,10594,77.43,13682,100.00,11468,83.82,13682,100.00,457,2016-07-28 06:40:02,2020-10-20 08:33:34,9393,4289,62,720
FE,Atlassian FishEye,Atlassian,5533,4615,1899,34.32,5533,100.00,4977,89.95,5533,100.00,74,2006-01-11 07:21:26,2020-10-22 18:12:59,5400,133,26,2
INDY,Hyperledger Indy Node,Hyperledger,2321,1964,1510,65.06,2321,100.00,2067,89.06,2321,100.00,59,2017-04-19 01:41:08,2020-04-16 19:02:42,1894,427,0,0
IS,Hyperledger Indy SDK,Hyperledger,1531,1293,1062,69.37,1531,100.00,1230,80.34,1531,100.00,92,2017-05-24 23:18:54,2020-10-05 05:38:37,1107,424,8,101
JAVA,The Mongo Java driver,MongoDB,3560,3446,2328,65.39,3560,100.00,3148,88.43,3560,100.00,35,2009-04-17 21:00:51,2020-10-15 12:31:38,2883,677,7,85
JRACLOUD,Atlassian Jira Cloud,Atlassian,25669,5798,3591,13.99,25669,100.00,25551,99.54,25669,100.00,557,2002-03-21 01:22:51,2020-10-22 23:35:18,22362,3307,8,4
JRASERVER,Atlassian Jira Server,Atlassian,44165,35215,9611,21.76,44165,100.00,43571,98.66,44165,100.00,462,2002-02-08 04:45:00,2020-10-23 20:38:11,41532,2633,70,25
JSWCLOUD,Atlassian Software Cloud,Atlassian,11702,7551,1129,9.65,11702,100.00,10576,90.38,11702,100.00,211,2007-06-14 07:25:23,2020-10-23 00:46:38,9999,1703,12,3
JSWSERVER,Atlassian Atlassian Software Server,Atlassian,12862,10824,1657,12.88,12862,100.00,11385,88.52,12862,100.00,182,2007-06-14 07:25:23,2020-10-23 08:03:06,12043,819,14,0
MDL,Moodle,Moodle,66741,52249,48947,73.34,66741,100.00,65548,98.21,66741,100.00,554,2002-04-25 12:58:42,2020-10-22 11:15:06,61472,5269,142,1175
MESOS,Apache Mesos,Apache,10157,7091,6531,64.30,10157,100.00,9443,92.97,10157,100.00,252,2011-02-16 23:12:40,2020-10-19 16:53:27,9470,687,67,173
MULE,Mule,Mulesoft,11816,11292,9978,84.44,11816,100.00,11373,96.25,11816,100.00,146,2004-03-23 02:49:11,2020-06-09 21:41:05,11809,7,53,0
MXNET,Apache MXNet,Apache,1404,311,724,51.57,1404,100.00,918,65.38,1404,100.00,50,2017-11-02 15:55:21,2020-07-14 11:44:41,1240,164,1,0
NEXUS,Sonatype Nexus,Sonatype,9912,9033,4155,41.92,9912,100.00,8970,90.50,9912,100.00,82,2008-04-03 15:47:48,2020-10-20 16:23:45,8848,1064,30,101
SERVER,MongoDB Core Server,MongoDB,48663,43834,44472,91.39,48663,100.00,42742,87.83,48663,100.00,452,2009-04-08 08:01:26,2020-10-21 20:44:31,35964,12699,153,3718
STL,Hyperledger Sawtooth,Hyperledger,1663,1157,1560,93.81,1663,100.00,1159,69.69,1663,100.00,56,2016-07-18 18:01:57,2020-09-23 07:22:54,1427,236,16,35
TIDOC,Titanium Mobile Platform,Appcelerator,3059,2774,3048,99.64,3059,100.00,2847,93.07,3059,100.00,62,2011-04-15 03:34:53,2020-09-29 12:46:30,2961,98,6,18
TIMOB,The Titanium SDK ,Appcelerator,22059,19574,20036,90.83,22059,100.00,20882,94.66,22059,100.00,161,2011-03-29 16:48:47,2020-10-23 10:17:14,20931,1128,61,381
TISTUD,Appcelerator Studio,Appcelerator,5979,5152,5961,99.70,5979,100.00,5882,98.38,5979,100.00,63,2011-03-01 11:50:44,2020-10-21 15:05:09,5921,58,12,17
USERGRID,Apache Usergrid,Apache,1339,811,742,55.41,1339,100.00,997,74.46,1339,100.00,37,2013-11-18 14:42:00,2019-05-26 22:36:32,1333,6,8,0
XD,Spring XD,Spring,3707,3046,2608,70.35,3707,100.00,3170,85.51,3707,100.00,31,2013-04-12 06:37:17,2018-11-16 15:57:31,3707,0,16,0
